candidate_rank,id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image,candidate_group,candidate_group_cn,expected_best_image_route,symbolic_hu_overlap,selection_tag,selection_reason
69,1537721,102386,2025新茶上市狮峰牌明前特级西湖龙井正宗春茶250g绿茶叶礼盒装沁,https://img.alicdn.com/bao/uploaded/O1CN0120hrh01ygW918ErFr_!!6000000006608-0-yinhe.jpg,狮峰,674,下单立减346元,茶,1,hedonic,享乐型,experiential,,coffee_tea_drinks,饮用体验型商品，核心价值来自风味、香气、仪式感或清爽感。
70,1557493,102386,Nespresso奈斯派索胶囊黑咖啡粒进口Vertuo系列套装组合120颗官方,https://img.alicdn.com/bao/uploaded/O1CN01hbxRlj1EZDbiVKOqM_!!6000000000365-0-yinhe.jpg,NESPRESSO/奈斯派索,673,满800减50,咖啡/麦片/冲饮,1,hedonic,享乐型,experiential,,coffee_tea_drinks,饮用体验型商品，核心价值来自风味、香气、仪式感或清爽感。
71,1554184,102386,Nespresso奈斯派索胶囊黑咖啡美式浓缩150颗新用户咖啡礼盒存储罐,https://img.alicdn.com/bao/uploaded/i3/2943565533/O1CN01a1cyjr1qkAOkpaIxX_!!2-item_pic.png,NESPRESSO/奈斯派索,665,满400减30,咖啡/麦片/冲饮,1,hedonic,享乐型,experiential,,coffee_tea_drinks,饮用体验型商品，核心价值来自风味、香气、仪式感或清爽感。
72,108077,null,%Arabica阿拉比卡咖啡豆百分比意式手工烘焙多风味黑咖囤货装礼盒,https://img.alicdn.com/bao/uploaded/O1CN01whf29l1QIyudnjrsL_!!6000000001954-0-yinhe.jpg,%ARABICA,619,官方8.5折,咖啡/麦片/冲饮,1,hedonic,享乐型,experiential,,coffee_tea_drinks,饮用体验型商品，核心价值来自风味、香气、仪式感或清爽感。
73,1558607,102386,三顿半数字星球7.0钻石星尘™精品咖啡速溶黑咖啡粉桶装3g*80颗,https://img.alicdn.com/bao/uploaded/O1CN01Kj8eFn27GG2qSJ5To_!!6000000007769-0-yinhe.jpg,三顿半,586,下单立减40元,咖啡/麦片/冲饮,1,hedonic,享乐型,experiential,,coffee_tea_drinks,饮用体验型商品，核心价值来自风味、香气、仪式感或清爽感。
74,110159,null,%Arabica阿拉比卡百分百咖啡豆黑巧拼配手冲精品新鲜烘焙1000g,https://img.alicdn.com/bao/uploaded/O1CN01BJ8iXC25Y07geK2Dv_!!6000000007537-0-yinhe.jpg,%ARABICA,509,官方8.5折,咖啡/麦片/冲饮,1,hedonic,享乐型,experiential,,coffee_tea_drinks,饮用体验型商品，核心价值来自风味、香气、仪式感或清爽感。
75,93824,null,Peller冰酒加拿大VQA雷司令威代尔品丽珠冰葡萄酒三支装经典礼盒,https://img.alicdn.com/bao/uploaded/O1CN015iMaM41bantDu3F2p_!!6000000003482-0-yinhe.jpg,PELLER ESTATES,999,满1200减60,酒类,1,hedonic,享乐型,experiential,,alcohol_mood,饮酒/微醺氛围商品，主要满足口感、情绪和社交放松体验。
76,1234991,104460,【法国列级名庄】达玛雅克庄园五级名庄红葡萄酒法国原瓶进口2012,https://img.alicdn.com/bao/uploaded/O1CN01apelco1zoadgwwGul_!!6000000006761-0-yinhe.jpg,碧富堂,999,,酒类,1,hedonic,享乐型,experiential,,alcohol_mood,饮酒/微醺氛围商品，主要满足口感、情绪和社交放松体验。
77,1234967,104460,【法国列级名庄】露儿保芙庄园二级名庄红葡萄酒法国原瓶进口2011,https://img.alicdn.com/bao/uploaded/O1CN01XOike11XuGIhle3MA_!!6000000002983-0-yinhe.jpg,碧富堂,999,,酒类,1,hedonic,享乐型,experiential,,alcohol_mood,饮酒/微醺氛围商品，主要满足口感、情绪和社交放松体验。
78,1234826,104460,【聚餐送礼】吉拉18年单一麦芽威士忌700m*1瓶,https://img.alicdn.com/bao/uploaded/O1CN01UD4YDT1UTkhZUrciF_!!6000000002519-0-yinhe.jpg,ISLE OF JURA,998,,酒类,1,hedonic,享乐型,experiential,,alcohol_mood,饮酒/微醺氛围商品，主要满足口感、情绪和社交放松体验。
79,1234787,104460,【连续20年金奖】日本KURA库那臧经典麦芽威士忌700ml洋酒礼盒装,https://img.alicdn.com/bao/uploaded/O1CN01qXxzvF1KsnzDXwQwy_!!6000000001220-0-yinhe.jpg,三重の寒梅,988,,酒类,1,hedonic,享乐型,experiential,,alcohol_mood,饮酒/微醺氛围商品，主要满足口感、情绪和社交放松体验。
80,1556723,102386,【官方正品】LOEWE罗意威香氛身体奢护套装番茄叶常春藤,https://img.alicdn.com/bao/uploaded/O1CN01Q9BzCi1ZzQ7wiOeON_!!6000000003265-0-yinhe.jpg,LOEWE/罗意威,1165,,洗护清洁剂/卫生巾/纸/香薰,1,hedonic,享乐型,experiential,,flowers_aroma_atmosphere,审美/气味/空间氛围商品，价值来自视觉美感、香气和情绪唤起。
81,1538733,102386,【七夕礼物】LOEWE罗意威质感香氛香薰蜡烛金合欢晚香玉兰花,https://img.alicdn.com/bao/uploaded/O1CN01Z7y8VJ1RM1AzHkyD9_!!6000000002096-0-yinhe.jpg,LOEWE/罗意威,1120,,洗护清洁剂/卫生巾/纸/香薰,1,hedonic,享乐型,experiential,,flowers_aroma_atmosphere,审美/气味/空间氛围商品，价值来自视觉美感、香气和情绪唤起。
82,1562002,102386,Georg Jensen 乔治杰生HK天鹅壶花瓶水壶北欧客厅餐桌装饰摆件,https://img.alicdn.com/bao/uploaded/O1CN01co9zRN1eULPK7vt6k_!!6000000003874-0-yinhe.jpg,Georg Jensen,1117,官方8.8折,家居饰品,1,hedonic,享乐型,experiential,,flowers_aroma_atmosphere,审美/气味/空间氛围商品，价值来自视觉美感、香气和情绪唤起。
83,1253176,102386,【顺丰速达】帕尔玛之水格调 居家香薰木质调180ml,https://img.alicdn.com/bao/uploaded/O1CN01G2YDQQ1bmFm5aNB9p_!!6000000003507-0-yinhe.jpg,帕尔玛之水,980,,洗护清洁剂/卫生巾/纸/香薰,1,hedonic,享乐型,experiential,,flowers_aroma_atmosphere,审美/气味/空间氛围商品，价值来自视觉美感、香气和情绪唤起。
84,1560532,102386,【超级88】帕尔玛之水格调 居家香薰木质调180ml,https://img.alicdn.com/bao/uploaded/O1CN01G2YDQQ1bmFm5aNB9p_!!6000000003507-0-yinhe.jpg,帕尔玛之水,980,,洗护清洁剂/卫生巾/纸/香薰,1,hedonic,享乐型,experiential,,flowers_aroma_atmosphere,审美/气味/空间氛围商品，价值来自视觉美感、香气和情绪唤起。
85,67,102386,【顺丰速达】MFK梵诗柯香香薰蜡烛晶红540/玫瑰蜡烛 居家香氛,https://img.alicdn.com/bao/uploaded/O1CN01CuXgFK21oFVvpHL5p_!!6000000007031-2-yinhe.png,Maison Francis Kurkdjian/梵诗柯香,850,,洗护清洁剂/卫生巾/纸/香薰,1,hedonic,享乐型,experiential,,flowers_aroma_atmosphere,审美/气味/空间氛围商品，价值来自视觉美感、香气和情绪唤起。
86,76087,null,Georg Jensen 乔治杰生HK花瓶北欧简约客厅插花桌面摆件,https://img.alicdn.com/bao/uploaded/O1CN01jAjJek1buVBnSwl1l_!!6000000003525-0-yinhe.jpg,Georg Jensen,790,,家居饰品,1,hedonic,享乐型,experiential,,flowers_aroma_atmosphere,审美/气味/空间氛围商品，价值来自视觉美感、香气和情绪唤起。
87,1560544,102386,RoyalCopenhagen皇家哥本哈根蓝色缤纷唐草手绘花瓶摆件客厅装饰,https://img.alicdn.com/bao/uploaded/O1CN01VwTfMJ286vJf5mi8K_!!6000000007884-0-yinhe.jpg,ROYAL COPENHAGEN,748,官方立减102元,家居饰品,1,hedonic,享乐型,experiential,,flowers_aroma_atmosphere,审美/气味/空间氛围商品，价值来自视觉美感、香气和情绪唤起。
88,1394465,89512,老铁匠嘉年华MEGA 磁力联动桌面轮盘 黑科技金属指尖解压edc玩具,https://img.alicdn.com/bao/uploaded/O1CN01fLDPhd1cqD5k2Xe6d_!!6000000003651-0-yinhe.jpg,LAUTIE/傲娇的老铁匠,1999,,玩具/童车/益智/积木/模型,1,hedonic,享乐型,experiential,,play_fantasy_fun,玩乐/创造/幻想体验商品，核心价值来自趣味、沉浸和想象空间。
89,1547672,104460,野兽王国漫威MK44钢铁侠反浩克装甲VS绿巨人Q版雕像手办礼物,https://img.alicdn.com/bao/uploaded/i1/725677994/O1CN01RgrFaX28vJ5CtxzPf_!!2-item_pic.png,BEAST KINGDOM/野兽王国,1999,,模玩/动漫/周边/娃圈三坑/桌游,1,hedonic,享乐型,experiential,,play_fantasy_fun,玩乐/创造/幻想体验商品，核心价值来自趣味、沉浸和想象空间。
90,36999,89512,老铁匠嘉年华MEGA 磁力联动桌面轮盘 黑科技金属指尖解压edc玩具,https://img.alicdn.com/bao/uploaded/O1CN01fLDPhd1cqD5k2Xe6d_!!6000000003651-0-yinhe.jpg,LAUTIE/傲娇的老铁匠,1999,,玩具/童车/益智/积木/模型,1,hedonic,享乐型,experiential,,play_fantasy_fun,玩乐/创造/幻想体验商品，核心价值来自趣味、沉浸和想象空间。
91,1395086,89512,指玩屋 太阿剑机械推牌玩吾乐志edc解压玩具国风金属指尖陀螺潮玩,https://img.alicdn.com/bao/uploaded/O1CN012Wx7Fl1YWHN4UTzQL_!!6000000003066-0-yinhe.jpg,指玩屋,1788,,玩具/童车/益智/积木/模型,1,hedonic,享乐型,experiential,,play_fantasy_fun,玩乐/创造/幻想体验商品，核心价值来自趣味、沉浸和想象空间。
92,3819,89512,指玩屋 太阿剑机械推牌玩吾乐志edc解压玩具国风金属指尖陀螺潮玩,https://img.alicdn.com/bao/uploaded/O1CN012Wx7Fl1YWHN4UTzQL_!!6000000003066-0-yinhe.jpg,指玩屋,1788,,玩具/童车/益智/积木/模型,1,hedonic,享乐型,experiential,,play_fantasy_fun,玩乐/创造/幻想体验商品，核心价值来自趣味、沉浸和想象空间。
93,52485,null,Eilik 艾力克机器人智能情感语音交互互动陪伴ai桌面电子宠物玩具,https://img.alicdn.com/bao/uploaded/O1CN01GnC8I51wzBACMBdrS_!!6000000006378-0-yinhe.jpg,EILIK,1299,官方立减1000元,玩具/童车/益智/积木/模型,1,hedonic,享乐型,experiential,,play_fantasy_fun,玩乐/创造/幻想体验商品，核心价值来自趣味、沉浸和想象空间。
94,1257729,89512,指玩屋 木樱爆破手NG-MARK手雷单推牌 edc金属解压玩具指尖陀螺,https://img.alicdn.com/bao/uploaded/O1CN01R7bWBj1JuoLk5p7Jc_!!6000000001089-0-yinhe.jpg,NAYICI/南樱旗,1199,,玩具/童车/益智/积木/模型,1,hedonic,享乐型,experiential,,play_fantasy_fun,玩乐/创造/幻想体验商品，核心价值来自趣味、沉浸和想象空间。
95,26126,110046,SIDANDA140支进口匹马棉四件套法式纯白色全棉套件镂空刺绣轻奢,https://img.alicdn.com/bao/uploaded/O1CN01IkhuFM1lTbwY90awT_!!6000000004820-0-yinhe.jpg,SIDANDA,2464,官方8.5折,床上用品,1,hedonic,享乐型,experiential,,beauty_music_comfort,美妆/音乐/舒适感官体验商品，主要提供气味、色彩、触感、听觉或审美愉悦。
96,75892,null,Hugo Boss进口春夏全棉贡缎ins风优雅花卉轻奢四件套WILD PEONIES,https://img.alicdn.com/bao/uploaded/O1CN01d7gxYq1c1pMXkCnD8_!!6000000003541-2-yinhe.png,Hugo Boss,2209.34,1件6.6折,床上用品,1,hedonic,享乐型,experiential,,beauty_music_comfort,美妆/音乐/舒适感官体验商品，主要提供气味、色彩、触感、听觉或审美愉悦。
97,1234815,104460,LOVO乐蜗家纺全棉纯棉高级四件套长绒棉床笠床品,https://img.alicdn.com/bao/uploaded/O1CN01cso9ms1EBrC2WNY8x_!!6000000000314-0-yinhe.jpg,LOVO/乐蜗,2098,,床上用品,1,hedonic,享乐型,experiential,,beauty_music_comfort,美妆/音乐/舒适感官体验商品，主要提供气味、色彩、触感、听觉或审美愉悦。
98,106133,null,【618即刻抢购】阿玛尼王牌星品礼盒口红香水气垫彩妆礼盒送女友,https://img.alicdn.com/bao/uploaded/O1CN01AsKjvV1JHsbajeih9_!!6000000001004-2-yinhe.png,GIORGIO ARMANI/阿玛尼,2015,,彩妆/香水/美妆工具,1,hedonic,享乐型,experiential,,beauty_music_comfort,美妆/音乐/舒适感官体验商品，主要提供气味、色彩、触感、听觉或审美愉悦。
99,97671,null,【618狂欢节】BYREDO柏芮朵 无人之境精选组合 香水/护手霜 80ml,https://img.alicdn.com/bao/uploaded/O1CN01k76PdU1jhELA5joaI_!!6000000004579-0-yinhe.jpg,BYREDO/柏芮朵,1980,,彩妆/香水/美妆工具,1,hedonic,享乐型,experiential,,beauty_music_comfort,美妆/音乐/舒适感官体验商品，主要提供气味、色彩、触感、听觉或审美愉悦。
100,108398,null,【618抢购】CL路铂廷双支装口红礼盒萝卜丁权杖唇膏套装 生日礼物,https://img.alicdn.com/bao/uploaded/O1CN01ljh1iw1ahO9p6kLGB_!!6000000003361-2-yinhe.png,Christian Louboutin/路铂廷,1870,,彩妆/香水/美妆工具,1,hedonic,享乐型,experiential,,beauty_music_comfort,美妆/音乐/舒适感官体验商品，主要提供气味、色彩、触感、听觉或审美愉悦。
101,48100,null,九号Ninebot电动滑板车E2Pro高配成人通勤代步轻便可折叠两轮车,https://img.alicdn.com/bao/uploaded/O1CN01UaqKrg1etzaS0NQOV_!!6000000003930-0-yinhe.jpg,Ninebot,1899,1件减1000元,电动车/配件/交通工具,1,symbolic_group_identity,群体符号型,symbolic,混合：符号性最强，同时可能带实用功能或享乐体验。,canonical_symbolic_group_identity,商品能直接标记某一生活方式、圈层或粉丝/玩家群体。
102,1562849,102386,迪卡侬ST520山地自行车男女款成人变速学生12-18岁单车轻便车OVMC,https://img.alicdn.com/bao/uploaded/O1CN017eQRgo1uS5GTxVwv6_!!6000000006035-0-yinhe.jpg,Decathlon/迪卡侬,2149.9,满600减50,自行车/骑行装备/零配件,1,symbolic_group_identity,群体符号型,symbolic,混合：符号性最强，同时可能带实用功能或享乐体验。,canonical_symbolic_group_identity,商品能直接标记某一生活方式、圈层或粉丝/玩家群体。
103,323020,"689,512",HEAD海德男女双板滑雪板新手初级入门全地域V2,https://img.alicdn.com/bao/uploaded/O1CN01ydfJHu1iDB1lOFwZM_!!6000000004378-0-yinhe.jpg,HEAD/海德,3130,官方8.5折,户外/登山/野营/旅行用品,1,symbolic_group_identity,群体符号型,symbolic,混合：符号性最强，同时可能带实用功能或享乐体验。,canonical_symbolic_group_identity,商品能直接标记某一生活方式、圈层或粉丝/玩家群体。
104,1544158,80548,漫步者G3头戴式耳机电竞游戏专用电脑耳麦有线带麦吃鸡听声辩位,https://img.alicdn.com/bao/uploaded/O1CN01zFzJ1P1lANKLx7rbg_!!6000000004778-0-yinhe.jpg,Edifier/漫步者,194,满99减5,影音电器,1,symbolic_group_identity,群体符号型,symbolic,混合：符号性最强，同时可能带实用功能或享乐体验。,canonical_symbolic_group_identity,商品能直接标记某一生活方式、圈层或粉丝/玩家群体。
105,1547651,104460,野兽王国英雄联盟LOL拉克丝玉兔青花瓷雕像摆件手办游戏周边,https://img.alicdn.com/bao/uploaded/i4/725677994/O1CN01O9Cns928vJ4zUVOs9_!!2-item_pic.png,BEAST KINGDOM/野兽王国,3499,,模玩/动漫/周边/娃圈三坑/桌游,1,symbolic_group_identity,群体符号型,symbolic,混合：符号性最强，同时可能带实用功能或享乐体验。,canonical_symbolic_group_identity,商品能直接标记某一生活方式、圈层或粉丝/玩家群体。
106,110086,null,【新品】Rapha Pro Team Roadsuit男款竞赛EF车队连体气动骑行服,https://img.alicdn.com/bao/uploaded/O1CN01ZxbTxt2ALFEeQORdn_!!6000000008186-0-yinhe.jpg,rapha（服装）,3500,,自行车/骑行装备/零配件,1,symbolic_group_identity,群体符号型,symbolic,偏实用：同时承担通勤或运动功能，但强烈指向城市轻出行/骑行圈层。,mobility_cycling_identity,城市轻出行/骑行商品，能直接标记通勤、骑行或轻运动生活方式群体。
107,110078,null,Rapha Explore男款休闲连帽保暖羽绒服运动骑行外套骑行服官方,https://img.alicdn.com/bao/uploaded/O1CN01OAxeWw1wj9D9eA9lh_!!6000000006343-0-yinhe.jpg,rapha（服装）,3000,,自行车/骑行装备/零配件,1,symbolic_group_identity,群体符号型,symbolic,偏实用：同时承担通勤或运动功能，但强烈指向城市轻出行/骑行圈层。,mobility_cycling_identity,城市轻出行/骑行商品，能直接标记通勤、骑行或轻运动生活方式群体。
108,63088,null,Q36.5骑行服短袖男款连体服夏季Road Skinsuit Dottore Clima,https://img.alicdn.com/bao/uploaded/O1CN01nfei9b1LSzRKDogel_!!6000000001299-0-yinhe.jpg,Q36.5,2939.04,,自行车/骑行装备/零配件,1,symbolic_group_identity,群体符号型,symbolic,偏实用：同时承担通勤或运动功能，但强烈指向城市轻出行/骑行圈层。,mobility_cycling_identity,城市轻出行/骑行商品，能直接标记通勤、骑行或轻运动生活方式群体。
109,13687,110046,迪卡侬RC120 碟刹铝架碳纤维前叉公路自行车男女通勤骑行OVB1,https://img.alicdn.com/bao/uploaded/O1CN015iJAN81rexWIUc9hg_!!6000000005657-0-yinhe.jpg,Decathlon/迪卡侬,2439.9,满600减60,自行车/骑行装备/零配件,1,symbolic_group_identity,群体符号型,symbolic,偏实用：同时承担通勤或运动功能，但强烈指向城市轻出行/骑行圈层。,mobility_cycling_identity,城市轻出行/骑行商品，能直接标记通勤、骑行或轻运动生活方式群体。
110,76774,6,迪卡侬RIVERSIDE500公路旅行休闲通勤代步城市自行车复古单车OVB1,https://img.alicdn.com/bao/uploaded/O1CN01rphWZz1hwgaUaYShm_!!6000000004342-0-yinhe.jpg,Decathlon/迪卡侬,1999.9,,自行车/骑行装备/零配件,1,symbolic_group_identity,群体符号型,symbolic,偏实用：同时承担通勤或运动功能，但强烈指向城市轻出行/骑行圈层。,mobility_cycling_identity,城市轻出行/骑行商品，能直接标记通勤、骑行或轻运动生活方式群体。
111,101721,null,ROSSIGNOL金鸡女士道内竞技双板滑雪板SIGNATURE VICTOIRE 25新品,https://img.alicdn.com/bao/uploaded/O1CN010pS1Hf1uWfDWpYV13_!!6000000006045-0-yinhe.jpg,ROSSIGNOL/金鸡,7000,1件8.5折,户外/登山/野营/旅行用品,1,symbolic_group_identity,群体符号型,symbolic,偏实用：有户外运动功能，同时强烈指向滑雪/登山/露营圈层。,outdoor_ski_identity,滑雪、登山、徒步或露营商品，能标记户外运动和特定生活方式身份。
112,4447,89512,FACTION Prodigy 22425新款天才2自由式全地形双板通用滑雪板黑色,https://img.alicdn.com/bao/uploaded/O1CN01P75VCu1wslYpdeT8S_!!6000000006364-0-yinhe.jpg,FACTION,6997.6,1件9.5折,户外/登山/野营/旅行用品,1,symbolic_group_identity,群体符号型,symbolic,偏实用：有户外运动功能，同时强烈指向滑雪/登山/露营圈层。,outdoor_ski_identity,滑雪、登山、徒步或露营商品，能标记户外运动和特定生活方式身份。
113,4360,89512,Faction Dancer 3 2425新款舞者全地形男女浅绿色橙色双板滑雪板,https://img.alicdn.com/bao/uploaded/O1CN01S2W3WL1PfaqkmopFb_!!6000000001868-0-yinhe.jpg,FACTION,6290.2,1件9折,户外/登山/野营/旅行用品,1,symbolic_group_identity,群体符号型,symbolic,偏实用：有户外运动功能，同时强烈指向滑雪/登山/露营圈层。,outdoor_ski_identity,滑雪、登山、徒步或露营商品，能标记户外运动和特定生活方式身份。
114,1396777,89512,42滑雪新款SALOMON萨洛蒙双板滑雪板雪道滑行成人双板滑雪装备,https://img.alicdn.com/bao/uploaded/i1/2944135471/O1CN016KrC8D1qHllMtw5xv_!!2-item_pic.png,S SALOMON,5998,,户外/登山/野营/旅行用品,1,symbolic_group_identity,群体符号型,symbolic,偏实用：有户外运动功能，同时强烈指向滑雪/登山/露营圈层。,outdoor_ski_identity,滑雪、登山、徒步或露营商品，能标记户外运动和特定生活方式身份。
115,59153,null,ATOMIC阿托米克滑雪双板2425新品进阶大小回转滑雪板REDSTER X9,https://img.alicdn.com/bao/uploaded/O1CN01YJb4NP1s9e4oDE84l_!!6000000005724-0-yinhe.jpg,ATOMIC,5758.5,1件7.5折,户外/登山/野营/旅行用品,1,symbolic_group_identity,群体符号型,symbolic,偏实用：有户外运动功能，同时强烈指向滑雪/登山/露营圈层。,outdoor_ski_identity,滑雪、登山、徒步或露营商品，能标记户外运动和特定生活方式身份。
116,751112,6,ECCO爱步运动鞋男 百搭免系带健身鞋 健步BIOM2.2 830864,https://img.alicdn.com/bao/uploaded/O1CN01rLGnmD1ZrB38NFgTv_!!6000000003247-0-yinhe.jpg,Ecco/爱步,2349,1件减250元,流行男鞋,1,symbolic_group_identity,群体符号型,symbolic,偏实用：具有运动功能，同时呈现跑者、球类玩家、瑜伽/健身人群等身份。,sports_fitness_identity,运动专项商品，能让消费者被识别为跑步、球类、瑜伽或健身群体成员。
117,14314,110046,Nike耐克官方ALPHAFLY 3男子公路竞速专业跑步鞋夏季马拉松FD8311,https://img.alicdn.com/bao/uploaded/O1CN01KdgooS1Zn3PNztvNM_!!6000000003238-0-yinhe.jpg,Nike/耐克,2299,,运动鞋new,1,symbolic_group_identity,群体符号型,symbolic,偏实用：具有运动功能，同时呈现跑者、球类玩家、瑜伽/健身人群等身份。,sports_fitness_identity,运动专项商品，能让消费者被识别为跑步、球类、瑜伽或健身群体成员。
118,1545129,102386,Saucony索康尼啡翼2丨ENDORPHIN ELITE 2旗舰马拉松竞速碳板跑鞋,https://img.alicdn.com/bao/uploaded/O1CN01MP3T9m1b8PbplzAwo_!!6000000003420-0-yinhe.jpg,saucony/索康尼,2090,,运动鞋new,1,symbolic_group_identity,群体符号型,symbolic,偏实用：具有运动功能，同时呈现跑者、球类玩家、瑜伽/健身人群等身份。,sports_fitness_identity,运动专项商品，能让消费者被识别为跑步、球类、瑜伽或健身群体成员。
119,110452,null,ECCO爱步运动鞋男夏25年新款耐磨跑步鞋健步BIOM INFINITE 825654,https://img.alicdn.com/bao/uploaded/O1CN01GxPdyS1ZQ9hPmUmLK_!!6000000003188-0-yinhe.jpg,Ecco/爱步,2089,1件减480元,流行男鞋,1,symbolic_group_identity,群体符号型,symbolic,偏实用：具有运动功能，同时呈现跑者、球类玩家、瑜伽/健身人群等身份。,sports_fitness_identity,运动专项商品，能让消费者被识别为跑步、球类、瑜伽或健身群体成员。
120,73843,null,【NASA联名】Reebok锐步官方24年新品男女BB-4K2运动篮球鞋,https://img.alicdn.com/bao/uploaded/O1CN01ykXojH1cOjKNDV1t4_!!6000000003591-0-yinhe.jpg,Reebok/锐步,1499,,运动鞋new,1,symbolic_group_identity,群体符号型,symbolic,偏实用：具有运动功能，同时呈现跑者、球类玩家、瑜伽/健身人群等身份。,sports_fitness_identity,运动专项商品，能让消费者被识别为跑步、球类、瑜伽或健身群体成员。
121,102789,null,MIZUNO美津浓25新款春夏机能预言凉鞋跑步鞋WAVE PROPHECY STRAP,https://img.alicdn.com/bao/uploaded/O1CN015OXibM1JaewMvoow7_!!6000000001045-0-yinhe.jpg,Mizuno/美津浓,1398,,运动鞋new,1,symbolic_group_identity,群体符号型,symbolic,偏实用：具有运动功能，同时呈现跑者、球类玩家、瑜伽/健身人群等身份。,sports_fitness_identity,运动专项商品，能让消费者被识别为跑步、球类、瑜伽或健身群体成员。
122,14145,110046,Saucony索康尼啡鹏4丨ENDORPHIN PRO 4马拉松竞速训练运动男跑鞋,https://img.alicdn.com/bao/uploaded/O1CN01PSdHZh1bNWcTLzDoz_!!6000000003453-0-yinhe.jpg,saucony/索康尼,1359,,运动鞋new,1,symbolic_group_identity,群体符号型,symbolic,偏实用：具有运动功能，同时呈现跑者、球类玩家、瑜伽/健身人群等身份。,sports_fitness_identity,运动专项商品，能让消费者被识别为跑步、球类、瑜伽或健身群体成员。
123,1547028,102386,德国-Bauerfeind/保而防LumboTrain全新升级健身网球运动护腰带,https://img.alicdn.com/bao/uploaded/O1CN01wEy7gm1R1rhCuvysX_!!6000000002052-0-yinhe.jpg,Bauerfeind/保而防,1231,官方8.8折,运动/瑜伽/健身/球迷用品,1,symbolic_group_identity,群体符号型,symbolic,偏实用：具有运动功能，同时呈现跑者、球类玩家、瑜伽/健身人群等身份。,sports_fitness_identity,运动专项商品，能让消费者被识别为跑步、球类、瑜伽或健身群体成员。
124,31765,110046,DESCENTE迪桑特TRAINING系列综训训练运动健身男士凉感运动长裤,https://img.alicdn.com/bao/uploaded/O1CN01Yea80A1j4Iy3Pj8ry_!!6000000004494-0-yinhe.jpg,DESCENTE/迪桑特,1190,,运动服/休闲服装,1,symbolic_group_identity,群体符号型,symbolic,偏实用：具有运动功能，同时呈现跑者、球类玩家、瑜伽/健身人群等身份。,sports_fitness_identity,运动专项商品，能让消费者被识别为跑步、球类、瑜伽或健身群体成员。
125,1564146,102386,德国-Bauerfeind/保而防-S护膝篮球健身足球滑雪跑步运动专业护具,https://img.alicdn.com/bao/uploaded/bao/upload/O1CN010Q0Tnt29wxuJE56uI_!!6000000008133-2-yinhe.png,Bauerfeind/保而防,1165,满300减30,运动/瑜伽/健身/球迷用品,1,symbolic_group_identity,群体符号型,symbolic,偏实用：具有运动功能，同时呈现跑者、球类玩家、瑜伽/健身人群等身份。,sports_fitness_identity,运动专项商品，能让消费者被识别为跑步、球类、瑜伽或健身群体成员。
126,62477,null,Razer雷蛇宝可梦耿鬼联名鼠标键盘鼠标垫耳机游戏外设全家桶礼物,https://img.alicdn.com/bao/uploaded/O1CN01HH8pj61GQdN9zYbQd_!!6000000000617-0-yinhe.jpg,Razer/雷蛇,3699,官方8.5折,电脑硬件/显示器/电脑周边,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：以娱乐、收藏、粉丝文化或游戏体验为主，同时有鲜明圈层符号。,gaming_anime_fandom_identity,游戏/动漫/潮玩商品，直接指向电竞玩家、二次元、收藏或粉丝社群。
127,65169,6,【自营】Nintendo任天堂游戏机Switch单机红蓝/白色手柄OLED掌机,https://img.alicdn.com/bao/uploaded/O1CN011vCYhR1r8RInVAPjn_!!6000000005586-0-yinhe.jpg,Nintendo/任天堂,1938,每件直降662元,电玩/配件/游戏/攻略,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：以娱乐、收藏、粉丝文化或游戏体验为主，同时有鲜明圈层符号。,gaming_anime_fandom_identity,游戏/动漫/潮玩商品，直接指向电竞玩家、二次元、收藏或粉丝社群。
128,1554293,104460,【部分地区国补15%】港版任天堂Switch OLED 掌上游戏机 NS主机,https://img.alicdn.com/bao/uploaded/O1CN01rhIc891h2LpQfBet0_!!6000000004219-0-yinhe.jpg,NINTENDO SWITCH,1869,,电玩/配件/游戏/攻略,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：以娱乐、收藏、粉丝文化或游戏体验为主，同时有鲜明圈层符号。,gaming_anime_fandom_identity,游戏/动漫/潮玩商品，直接指向电竞玩家、二次元、收藏或粉丝社群。
129,60403,null,ROG夜魔Extreme机械键盘三模75配列热插拔客制化8K回报率,https://img.alicdn.com/bao/uploaded/O1CN0152KG2s1d1CWA1Y6e3_!!6000000003675-0-yinhe.jpg,ROG/玩家国度,1779,满200减20,电脑硬件/显示器/电脑周边,1,symbolic_group_identity,群体符号型,symbolic,偏享乐：以娱乐、收藏、粉丝文化或游戏体验为主，同时有鲜明圈层符号。,gaming_anime_fandom_identity,游戏/动漫/潮玩商品，直接指向电竞玩家、二次元、收藏或粉丝社群。
